Altmetric_ID,Altmetric_Score,Cosine
5433797.0,0.0,0.48080482687871595
14584436.0,3.0,0.7092972666062738
40865066.0,0.5,0.835049905752098
1863704.0,5.25,0.43290252742909036
14057045.0,15.05,0.6766282517941079
4549804.0,0.25,0.6111242823842743
2740750.0,38.542,0.8495766450412412
3554012.0,3.0,0.8444320760277021
3000410.0,3.0,0.8816114554784319
412052.0,8.056000000000001,1.0000000000000002
2515213.0,0.25,0.6348087971775132
43095485.0,3.0,0.8200207392821179
21182170.0,20.064,0.8955324150715727
24580948.0,0.5,0.7031727059663414
25183278.0,1.0,0.6489313094891378
16060042.0,0.75,0.536892711851518
6153982.0,1.75,0.8264861911724131
576504.0,34.0,0.7822856593703585
2826851.0,4.25,0.7658995401430566
15391834.0,0.25,0.5193879933129156
4572142.0,7.45,0.8495766450412412
18482039.0,0.5,0.709052873585664
1145922.0,0.5,0.9449111825230682
1786220.0,59.3,0.6349798322956082
386585.0,2.5,0.822369367201817
14767354.0,2.0,0.6083255563657997
15770679.0,0.0,0.536892711851518
35345436.0,9.0,0.4656462190988998
1516563.0,25.0,0.7658995401430566
21140445.0,3.0,0.21951095080860836
4642546.0,4.0,0.7541789916414522
130680.0,1.0,0.6764792400877004
12934767.0,0.25,0.8032002037467096
5637538.0,4.85,1.0
39748206.0,3.85,0.8600453215536141
3597666.0,3.0,0.9805806756909202
3004166.0,0.25,0.36734105444718435
22538054.0,0.0,0.7736753693468769
5516774.0,7.0,0.8621203848242092
28290506.0,1.75,0.9434557355986907
2934455.0,1.75,0.5031026124151314
22232803.0,0.0,0.6905898332121545
4373647.0,7.0,0.7736753693468769
20560639.0,6.0,0.8401094384053688
907321.0,3.25,0.6828336106543818
3775717.0,0.75,0.8264861911724131
215968.0,2.75,0.0
16304371.0,1.25,0.9539975813012453
1079924.0,2.25,0.8181802073667197
404305.0,0.25,0.52849680832637
22443910.0,0.0,0.6327904583679946
9128590.0,0.25,0.8774357856096053
4203758.0,0.25,0.6781548297795286
2000723.0,0.25,0.7603607245448383
31586776.0,2.25,0.6489313094891378
1164315.0,0.25,0.835049905752098
980199.0,1.5,0.52849680832637
3662689.0,9.0,0.9055499650942062
20693448.0,1.5,0.5801330271442872
488298.0,0.5,0.46529153233701376
20576430.0,29.63,0.6349798322956082
1260565.0,0.5,0.7297276980311307
4483396.0,1.0,0.7350957586046979
3603219.0,6.0,0.9292674760456228
2208260.0,0.5,0.48328965840470944
2174575.0,151.9,0.6183579924650476
556672.0,1.0,0.9437319509383874
15129390.0,0.25,0.5581088056578978
605983.0,0.5,1.0000000000000002
1829337.0,1.75,0.9970544855015816
8262779.0,6.5,0.8109493472087929
4242208.0,0.75,0.2480853824889377
495237.0,1.5,0.1636830616936349
1690206.0,0.25,0.830510466396368
3322619.0,3.5,0.5986700850397748
1329373.0,3.5,0.8944271909999161
2828758.0,0.5,0.6761244174031967
865511.0,26.855999999999998,0.42856934500914234
22919776.0,0.0,0.9417419115948374
3530032.0,3.0,0.9046263911897863
2945402.0,1.35,0.6745781589736752
13237050.0,0.0,0.833633638968502
2437295.0,12.75,0.15055696960204953
3853267.0,3.85,0.31622347747628643
4532982.0,1.85,0.4545442147050426
31914252.0,1.85,0.8466473536503037
3489483.0,0.0,0.47053570497407937
141810.0,1.0,0.8448951934138227
22549472.0,0.0,0.474330706497194
22590816.0,0.0,0.7355730809320625
5371251.0,0.0,0.9055499650942062
4497444.0,1.25,0.9437319509383874
4997878.0,82.95,0.8320502943378438
142965.0,1.0,0.4925738927715237
1310419.0,1.25,0.8448951934138226
22411643.0,3.0,0.5586177528223196
9866462.0,0.5,0.5989140007056307
40867139.0,80.55,0.8543463084393229
25534291.0,0.25,0.8401094384053688
701841.0,1.25,0.8109493472087929
43356306.0,3.0,0.11171999629978932
2182702.0,16.3,0.6828869323101472
1566788.0,9.29,0.9111190084083243
32334627.0,72.25,0.7452058548085969
2951612.0,5.232,0.6761244174031967
1421961.0,0.75,0.9970544855015816
1071312.0,4.25,0.440202783636941
871079.0,1.75,0.663231668306823
2133512.0,2.2,0.7658995401430566
2258856.0,0.75,0.7658995401430566
3489966.0,7.0,1.0000000000000002
152021.0,1.0,0.8214112916883224
22793533.0,0.0,0.913622474411679
28658818.0,6.15,0.5467678904138602
